produtos,CLAS,vencimento,ESTOQUE
 CLOREXIDINA degermante 2%,LT,2026-11-01 00:00:00,100.0
" digluconato de clorexidina 0,5%",LT,2027-09-01 00:00:00,35.0
ABAIXADORES P/LÍNGUA,UND,2029-03-01 00:00:00,185.0
ADESIVO P/ FIXAÇÃO  DE DISPOSITIVOS INTRAVENOSOS,UND,2026-04-01 00:00:00,750.0
AGENDA PERMANENTE,NULO,,0.0
AGENDAMENTO DE CONSULTA,UND,,241.0
ÁGUA OXIGENADA ,UND,,0.0
ÁGUA P/ INJEÇÃO,UND,2025-10-01 00:00:00,45.0
ÁGUA SANITÁRIA  2lt,,,
ÁGUA SANITÁRIA 1lt,,,
ÁGUA SANITÁRIA 2L,,,
"AGULHA  HIPODÉRMICA25x0,6 C/100",CX,,173.0
AGULHA  HIPODÉRMICA25x7 C/100,CX,,106.0
AGULHA  HIPODÉRMICA25X8 C/100,CX,,68.0
AGULHA  HIPODÉRMICA40X12 C/100,CX,,71.0
AGULHA HIPODÉRMICA 13x45 C/100,CX,,137.0
AGULHA HIPODÉRMICA 20X55 C/100,CX,,49.0
AGULHA P/ GLICOSE (LANCETA),NULO,,0.0
ÁLCOOL 70%,,,
ÁLCOOL 99% HOSPITALAR,UND,2026-10-01 00:00:00,50.0
ÁLCOOL IODADO (POLVIDINE TÓPICO),LT,2025-07-01 00:00:00,118.0
ÁLCOOOL EM GEL 70%,,,
ALFINETE COM CABEÇA,CX,,0.0
ALFINETE COMUM,NULO,,0.0
ALGODÃO HIDROFILO,UND,2029-03-01 00:00:00,70.0
ALGODÃO ORTOPEDICO 10CM,NULO,,0.0
ALGODÃO ORTOPEDICO 20CM,NULO,,0.0
ALMOFADA PARA CARIMBO,UND,,39.0
ALMOFADA PARA CARIMBO,UND,,54.0
ALMOTOLIA 250 ML,UND,,0.0
ALMOTOLIA 500 ML,UND,,0.0
AMACIANTE,,,
Aparelho MEDIDOR GLICOSE (GLICOSÍMETRO),NULO,,0.0
ARQUIVO,,,
ATADURA CREPE 10cm ,UND,,0.0
ATADURA CREPE 15cm,UND,2029-02-01 00:00:00,60.0
ATADURA CREPE 20cm,UND,2029-02-01 00:00:00,60.0
ATADURA DE ALGODÃO 10CM,NULO,,0.0
ATADURA DE ALGODÃO 15CM,NULO,,0.0
ATADURA DE ALGODÃO 20CM,PCT,,0.0
ATADURA GESSADA 12X300,NULO,,0.0
ATADURA GESSADA 15X300,NULO,,0.0
ATADURA GESSADA 20CM X 4M,NULO,,0.0
ATADURA GESSADA 8CMX2M,NULO,,0.0
AVENTAL CIRÚRGICO G,un,,69.0
AVENTAL PVC,,,
BALANÇA,,,
BALÃO SORTIDO,PCT,,0.0
BALDE G,,,
BALDE P,,,
BANCO C/ROTINHA ACENDO GIRADORIO,,,
BARBANTE PEQUENO,NULO,,0.0
BATERIA CR 1620,NULO,,0.0
BATERIA CR 2016,NULO,,0.0
BATERIA CR 2025,NULO,,0.0
BATERIA CR 2032 ( GLICOSIMêTRO ),UND,dez-28,61.0
BATERIA CR 2450,UND,jan-26,30.0
BATERIA LR 1154,UND,dez-28,685.0
BEBEDOURO,,,
BEBEDOURO,,,
BIOFRASCO 300ML,NULO,,0.0
BIOFRASCO 500ML,UND,,256.0
BOBINA GRANDE,,,
BOBINA MED.,,,
BOBINA P/ ESTERELIZAÇÃO  15X100,NULO,,0.0
BOBINA P/ ESTERELIZAÇÃO  80X100,RL,,0.0
BOBINA P/ ESTERELIZAÇÃO 25X100,NULO,,0.0
BOBINA P/ ESTERILIZAÇÃO  150X100,NULO,,0.0
BOBINA P/ ESTERILIZAÇÃO  300X100,UND,2027-08-01 00:00:00,9.0
BOBINA P/ ESTERILIZAÇÃO 100X100,UND,,0.0
